comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,loss_ratio,160.0,15.0,1480,611.9337533808158,5.638473941152562e-17,8.010245652438473e-13,4.861007943317741e-14,99.99999943615246,5.638474790433487e-07
global_cmt,loss_ratio,161.0,15.0,1480,613.7280150472089,3.993509090013805e-17,6.642831429220673e-13,2.89387974502529e-14,99.99999960064902,3.993509571066023e-07
global_cmt,loss_ratio,162.0,15.0,1480,615.3240662057864,2.817084712648203e-17,5.515547104625236e-13,1.7159460944249652e-14,99.99999971829149,2.817084984840177e-07
global_cmt,loss_ratio,163.0,15.0,1480,616.6899956554828,1.9792828193288853e-17,4.582171816405279e-13,1.0134587059570548e-14,99.99999980207168,1.9792829731814707e-07
global_cmt,loss_ratio,164.0,15.0,1480,617.7886355506763,1.3851269953380842e-17,3.806891750616919e-13,5.962089202771164e-15,99.99999986148728,1.3851270822095568e-07
global_cmt,loss_ratio,165.0,15.0,1480,618.5782144454248,9.655100195833224e-18,3.1615494328143515e-13,3.4937531145483107e-15,99.99999990344898,9.655100685817103e-08
global_cmt,loss_ratio,166.0,15.0,1480,619.0132565398619,6.7038114814182345e-18,2.623690050158283e-13,2.039385524402336e-15,99.99999993296188,6.703811757476925e-08
global_cmt,loss_ratio,167.0,15.0,1480,619.0456897290915,4.63658039359399e-18,2.1751721336934175e-13,1.1858580249767525e-15,99.99999995363419,4.636580548944655e-08
global_cmt,loss_ratio,168.0,15.0,1480,618.6261163300917,3.1944705688893863e-18,1.8011732922581025e-13,6.869199125215974e-16,99.99999996805529,3.194470656204437e-08
global_cmt,loss_ratio,169.0,15.0,1480,617.705194413059,2.1925031033264217e-18,1.4894706688674006e-13,3.9640068662115764e-16,99.99999997807497,2.1925031523379007e-08
global_cmt,loss_ratio,170.0,15.0,1480,616.2350747823382,1.4991256482097544e-18,1.2299121328016196e-13,2.278943454020588e-16,99.99999998500874,1.4991256756826758e-08
global_cmt,loss_ratio,171.0,15.0,1480,614.1708388580623,1.0211976977422556e-18,1.014020350186073e-13,1.3053313305017423e-16,99.99999998978802,1.0211977131193431e-08
global_cmt,loss_ratio,172.0,15.0,1480,611.4718856961978,6.930656445451597e-19,8.346902153732131e-14,7.449284120551464e-17,99.99999999306934,6.93065653138632e-09
global_cmt,loss_ratio,173.0,15.0,1480,608.1032215358579,4.686534279813079e-19,6.85952764585364e-14,4.235793145388572e-17,99.99999999531344,4.68653432775903e-09
global_cmt,loss_ratio,174.0,15.0,1480,604.0366117504807,3.157647409727139e-19,5.62787286577664e-14,2.3999524693174056e-17,99.99999999684235,3.1576474364318736e-09
